record_type,model_time,forecast_time_hkt,temperature_c,weather_icon,daily_min_c,daily_max_c,last_modified,source
hourly,2026091100,2026-09-16T17:00:00+08:00,29.7,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T18:00:00+08:00,29.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T19:00:00+08:00,28.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T20:00:00+08:00,28.3,71,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T21:00:00+08:00,28.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T22:00:00+08:00,28.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T23:00:00+08:00,27.9,71,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T00:00:00+08:00,27.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T01:00:00+08:00,27.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T02:00:00+08:00,27.6,71,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T03:00:00+08:00,27.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T04:00:00+08:00,27.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T05:00:00+08:00,27.1,712,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T06:00:00+08:00,27.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T07:00:00+08:00,27.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T08:00:00+08:00,27.5,51,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T09:00:00+08:00,28.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T10:00:00+08:00,28.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T11:00:00+08:00,29.4,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T12:00:00+08:00,29.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T13:00:00+08:00,30.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T14:00:00+08:00,30.6,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T15:00:00+08:00,30.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T16:00:00+08:00,30.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T17:00:00+08:00,30.1,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T18:00:00+08:00,29.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T19:00:00+08:00,28.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T20:00:00+08:00,28.5,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T21:00:00+08:00,28.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T22:00:00+08:00,28.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-17T23:00:00+08:00,28.0,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T00:00:00+08:00,27.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T01:00:00+08:00,27.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T02:00:00+08:00,27.6,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T03:00:00+08:00,27.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T04:00:00+08:00,27.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T05:00:00+08:00,27.1,722,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T06:00:00+08:00,27.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T07:00:00+08:00,27.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T08:00:00+08:00,27.7,51,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T09:00:00+08:00,28.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T10:00:00+08:00,28.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T11:00:00+08:00,29.3,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T12:00:00+08:00,29.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T13:00:00+08:00,30.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T14:00:00+08:00,30.5,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T15:00:00+08:00,30.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T16:00:00+08:00,30.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T17:00:00+08:00,30.1,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T18:00:00+08:00,29.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T19:00:00+08:00,28.8,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T20:00:00+08:00,28.6,72,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-18T21:00:00+08:00,28.5,,,,20260912041150,HKO.xml
